city_name,lat,lon
Холмск,47.0408423,142.041688
Саратов,51.533557,46.034257
Томск,56.4845804,84.9481582
Балашиха,55.796389,37.938283
Нальчик,43.4845464,43.60713
Магадан,59.5681332,150.8084956
Сургут,61.2541083,73.3961587
д. Поздняково,54.2355492,34.4587008
Улан-Удэ,51.8335853,107.5842223
Люберцы,55.676499,37.898125
Оренбург,51.7875092,55.1018828
Нижний Тагил,57.910126,59.9812853
Ухта,63.5565514,53.7014239
Свердловский,,
Избербаш,42.5650962,47.8710051
